date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,167.15,134.0,122.45,136.2,301.15,6375.0,176.41,6198.59,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,250000,2
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,128.0,132.2,100.8,99.0,260.2,9060.0,162.93,8897.07,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,250000,2
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,2
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,2
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,162.95,122.65,153.0,130.05,285.6,382.5,175.9,206.6,Time Exit (15:15),2,0.0,14590.1,False,1,25,6,150,250000,2
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,77.35,75.6,239.75,13020.0,154.48,12865.52,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,2
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T14:45:00+05:30,328.0,62.4,58.75,24.85,18.05,121.15,11737.5,121.37,11616.13,Winner Booking (29.0%),0,0.0,14547.0,False,1,25,6,150,250000,2
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,2
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,7830.0,176.76,7653.24,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,2
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T15:15:00+05:30,358.0,90.95,96.3,87.9,88.85,187.25,1575.0,146.96,1428.04,Time Exit (15:15),1,0.0,14506.0,False,1,25,6,150,250000,2
2021-04-22,2021-04-22T09:17:00+05:30,2021-04-22T14:40:00+05:30,323.0,78.7,59.0,30.55,16.75,137.7,13560.0,124.91,13435.09,Winner Booking (26.7%),0,0.0,14170.7999,False,1,25,6,150,250000,2
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,3825.0,195.12,3629.88,Time Exit (15:15),4,0.0,14342.0,False,1,25,6,150,250000,2
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,2505.0,173.95,2331.05,Time Exit (15:15),3,0.0,14433.3999,False,1,25,6,150,250000,2
2021-04-27,2021-04-27T09:17:00+05:30,2021-04-27T15:15:00+05:30,358.0,109.25,125.15,94.6,100.1,234.4,5955.0,157.59,5797.41,Time Exit (15:15),2,0.0,14546.1,False,1,25,6,150,250000,2
2021-04-28,2021-04-28T09:17:00+05:30,2021-04-28T15:15:00+05:30,358.0,70.15,94.55,73.2,71.4,164.7,3015.0,139.56,2875.44,Time Exit (15:15),1,0.0,14734.0,False,1,25,6,150,250000,2
2021-04-30,2021-04-30T09:17:00+05:30,2021-04-30T15:15:00+05:30,358.0,195.5,175.95,198.4,150.15,371.45,3435.0,198.46,3236.54,Time Exit (15:15),4,0.0,14780.5,False,1,25,6,150,250000,2
2021-05-03,2021-05-03T09:17:00+05:30,2021-05-03T15:15:00+05:30,358.0,152.85,158.4,153.2,120.05,311.25,5700.0,179.75,5520.25,Time Exit (15:15),3,0.0,14440.6,False,1,25,6,150,250000,2
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T15:15:00+05:30,358.0,125.75,107.6,112.85,105.05,233.35,2317.5,159.67,2157.83,Time Exit (15:15),2,0.0,14716.6,False,1,25,6,150,250000,2
2021-05-05,2021-05-05T09:17:00+05:30,2021-05-05T15:15:00+05:30,358.0,106.25,86.9,86.4,60.6,193.15,6922.5,145.14,6777.36,Time Exit (15:15),1,0.0,14577.7,False,1,25,6,150,250000,2
2021-05-07,2021-05-07T09:17:00+05:30,2021-05-07T15:15:00+05:30,358.0,123.05,144.0,143.25,115.9,267.05,1185.0,170.05,1014.95,Time Exit (15:15),3,0.0,14833.6,False,1,25,6,150,250000,2
2021-05-10,2021-05-10T09:17:00+05:30,2021-05-10T15:15:00+05:30,358.0,91.7,115.45,86.5,95.4,207.15,3787.5,151.21,3636.29,Time Exit (15:15),2,0.0,14922.3999,False,1,25,6,150,250000,2
2021-05-11,2021-05-11T09:17:00+05:30,2021-05-11T15:15:00+05:30,358.0,79.55,79.65,64.5,62.85,159.2,4777.5,136.82,4640.68,Time Exit (15:15),1,0.0,14801.7,False,1,25,6,150,250000,2
2021-05-14,2021-05-14T09:17:00+05:30,2021-05-14T15:15:00+05:30,358.0,153.6,123.9,123.0,132.45,277.5,3307.5,171.65,3135.85,Time Exit (15:15),4,0.0,14729.3999,False,1,25,6,150,250000,2
2021-05-17,2021-05-17T09:17:00+05:30,2021-05-17T15:15:00+05:30,358.0,104.4,112.4,111.75,88.05,216.8,2550.0,154.78,2395.22,Time Exit (15:15),3,0.0,14743.3999,False,1,25,6,150,250000,2
2021-05-18,2021-05-18T09:17:00+05:30,2021-05-18T15:15:00+05:30,358.0,87.75,84.75,92.0,73.3,172.5,1080.0,143.06,936.94,Time Exit (15:15),2,0.0,15095.7,False,1,25,6,150,250000,2
2021-05-19,2021-05-19T09:17:00+05:30,2021-05-19T15:15:00+05:30,358.0,79.0,64.85,58.7,65.15,143.85,3000.0,133.6,2866.4,Time Exit (15:15),1,0.0,15063.3999,False,1,25,6,150,250000,2
2021-05-21,2021-05-21T09:17:00+05:30,2021-05-21T15:15:00+05:30,358.0,131.75,117.4,121.5,111.0,249.15,2497.5,164.07,2333.43,Time Exit (15:15),4,0.0,15000.8999,False,1,25,6,150,250000,2
2021-05-24,2021-05-24T09:17:00+05:30,2021-05-24T15:15:00+05:30,358.0,114.4,103.75,95.6,94.4,218.15,4222.5,154.08,4068.42,Time Exit (15:15),3,0.0,15213.1,False,1,25,6,150,250000,2
2021-05-25,2021-05-25T09:17:00+05:30,2021-05-25T15:15:00+05:30,358.0,70.9,86.25,82.55,68.8,157.15,870.0,138.81,731.19,Time Exit (15:15),2,0.0,15276.3999,False,1,25,6,150,250000,2
2021-05-26,2021-05-26T09:17:00+05:30,2021-05-26T15:15:00+05:30,358.0,55.0,68.85,56.25,50.3,123.85,2595.0,128.15,2466.85,Time Exit (15:15),1,0.0,15234.7,False,1,25,6,150,250000,2
2021-05-28,2021-05-28T09:17:00+05:30,2021-05-28T15:15:00+05:30,358.0,107.9,130.7,98.95,119.85,238.6,2475.0,149.69,2325.31,Time Exit (15:15),4,0.0,15439.7999,False,1,25,5,125,250000,2
