date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T12:07:00+05:30,170.0,162.95,122.65,160.0,136.5,285.6,-1635.0,177.22,-1812.22,Spot Move Exit (289pts > 286pts),2,0.0,14590.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,77.35,75.6,239.75,13020.0,154.48,12865.52,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,7830.0,176.76,7653.24,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T14:26:00+05:30,309.0,90.95,96.3,98.25,94.65,187.25,-847.5,148.55,-996.05,Spot Move Exit (198pts > 187pts),1,0.0,14506.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,3825.0,195.12,3629.88,Time Exit (15:15),4,0.0,14342.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,2505.0,173.95,2331.05,Time Exit (15:15),3,0.0,14433.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-27,2021-04-27T09:17:00+05:30,2021-04-27T15:15:00+05:30,358.0,109.25,125.15,94.6,100.1,234.4,5955.0,157.59,5797.41,Time Exit (15:15),2,0.0,14546.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-04-30,2021-04-30T09:17:00+05:30,2021-04-30T15:15:00+05:30,358.0,195.5,175.95,198.4,150.15,371.45,3435.0,198.46,3236.54,Time Exit (15:15),4,0.0,14780.5,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-03,2021-05-03T09:17:00+05:30,2021-05-03T15:15:00+05:30,358.0,152.85,158.4,153.2,120.05,311.25,5700.0,179.75,5520.25,Time Exit (15:15),3,0.0,14440.6,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T14:55:00+05:30,338.0,125.75,107.6,107.3,115.15,233.35,1635.0,160.12,1474.88,Spot Move Exit (236pts > 233pts),2,0.0,14716.6,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-05,2021-05-05T09:17:00+05:30,2021-05-05T15:15:00+05:30,358.0,106.25,86.9,86.4,60.6,193.15,6922.5,145.14,6777.36,Time Exit (15:15),1,0.0,14577.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-07,2021-05-07T09:17:00+05:30,2021-05-07T15:15:00+05:30,358.0,123.05,144.0,143.25,115.9,267.05,1185.0,170.05,1014.95,Time Exit (15:15),3,0.0,14833.6,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-10,2021-05-10T09:17:00+05:30,2021-05-10T15:15:00+05:30,358.0,91.7,115.45,86.5,95.4,207.15,3787.5,151.21,3636.29,Time Exit (15:15),2,0.0,14922.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-14,2021-05-14T09:17:00+05:30,2021-05-14T15:15:00+05:30,358.0,153.6,123.9,123.0,132.45,277.5,3307.5,171.65,3135.85,Time Exit (15:15),4,0.0,14729.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-17,2021-05-17T09:17:00+05:30,2021-05-17T15:15:00+05:30,358.0,104.4,112.4,111.75,88.05,216.8,2550.0,154.78,2395.22,Time Exit (15:15),3,0.0,14743.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-21,2021-05-21T09:17:00+05:30,2021-05-21T15:15:00+05:30,358.0,131.75,117.4,121.5,111.0,249.15,2497.5,164.07,2333.43,Time Exit (15:15),4,0.0,15000.8999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-24,2021-05-24T09:17:00+05:30,2021-05-24T15:15:00+05:30,358.0,114.4,103.75,95.6,94.4,218.15,4222.5,154.08,4068.42,Time Exit (15:15),3,0.0,15213.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-28,2021-05-28T09:17:00+05:30,2021-05-28T15:15:00+05:30,358.0,107.9,130.7,98.95,119.85,238.6,2475.0,149.69,2325.31,Time Exit (15:15),4,0.0,15439.7999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-05-31,2021-05-31T09:17:00+05:30,2021-05-31T15:15:00+05:30,358.0,107.55,93.05,66.75,111.05,200.6,3420.0,149.57,3270.43,Time Exit (15:15),3,0.0,15419.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-04,2021-06-04T09:17:00+05:30,2021-06-04T15:15:00+05:30,358.0,107.85,118.95,92.0,108.75,226.8,3256.25,146.36,3109.89,Time Exit (15:15),4,0.0,15696.1,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-07,2021-06-07T09:17:00+05:30,2021-06-07T15:15:00+05:30,358.0,98.35,80.65,88.6,80.7,179.0,1212.5,136.3,1076.2,Time Exit (15:15),3,0.0,15710.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-11,2021-06-11T09:17:00+05:30,2021-06-11T15:15:00+05:30,358.0,99.75,101.1,93.05,89.7,200.85,2262.5,140.83,2121.67,Time Exit (15:15),4,0.0,15807.7,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-18,2021-06-18T09:17:00+05:30,2021-06-18T10:52:00+05:30,95.0,103.7,111.25,130.3,137.2,214.95,-6568.75,149.97,-6718.72,Spot Move Exit (216pts > 215pts),4,0.0,15749.2,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-21,2021-06-21T09:17:00+05:30,2021-06-21T15:15:00+05:30,358.0,126.5,100.9,83.0,87.8,227.4,7075.0,144.0,6931.0,Time Exit (15:15),3,0.0,15525.5,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-06-25,2021-06-25T09:17:00+05:30,2021-06-25T15:15:00+05:30,358.0,104.0,117.65,100.0,85.85,221.65,4475.0,144.34,4330.66,Time Exit (15:15),4,0.0,15838.6,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-07-02,2021-07-02T09:17:00+05:30,2021-07-02T15:15:00+05:30,358.0,86.35,93.95,90.0,65.0,180.3,3162.5,135.33,3027.17,Time Exit (15:15),4,0.0,15690.3999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-07-09,2021-07-09T09:17:00+05:30,2021-07-09T15:15:00+05:30,358.0,122.8,91.2,96.55,80.0,214.0,4681.25,142.37,4538.88,Time Exit (15:15),4,0.0,15676.8999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-07-30,2021-07-30T09:17:00+05:30,2021-07-30T15:15:00+05:30,358.0,83.05,100.05,86.3,81.8,183.1,1875.0,136.83,1738.17,Time Exit (15:15),4,0.0,15797.6,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-08-06,2021-08-06T09:17:00+05:30,2021-08-06T15:15:00+05:30,358.0,102.0,101.65,78.1,97.9,203.65,3456.25,140.7,3315.55,Time Exit (15:15),4,12.86,16310.5,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-08-20,2021-08-20T09:17:00+05:30,2021-08-20T15:15:00+05:30,358.0,110.0,107.5,98.8,99.05,217.5,2456.25,144.67,2311.58,Time Exit (15:15),4,13.54,16422.2,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-08-27,2021-08-27T09:17:00+05:30,2021-08-27T15:15:00+05:30,358.0,108.05,90.4,95.6,94.0,198.45,1106.25,141.0,965.25,Time Exit (15:15),4,13.14,16619.7999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-03,2021-09-03T09:17:00+05:30,2021-09-03T15:15:00+05:30,358.0,104.3,122.55,112.5,95.25,226.85,2387.5,146.94,2240.56,Time Exit (15:15),4,14.17,17288.7,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-06,2021-09-06T09:17:00+05:30,2021-09-06T15:15:00+05:30,358.0,90.2,103.85,85.35,96.6,194.05,1512.5,139.69,1372.81,Time Exit (15:15),3,14.68,17398.4,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-13,2021-09-13T09:17:00+05:30,2021-09-13T15:15:00+05:30,358.0,87.25,104.1,81.45,78.25,191.35,3956.25,137.44,3818.81,Time Exit (15:15),3,14.57,17329.5999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-17,2021-09-17T09:17:00+05:30,2021-09-17T15:15:00+05:30,358.0,90.95,131.35,104.5,102.0,222.3,1975.0,146.13,1828.87,Time Exit (15:15),4,14.72,17722.5,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-20,2021-09-20T09:17:00+05:30,2021-09-20T15:15:00+05:30,358.0,116.7,81.9,118.6,116.25,198.60000000000002,-4531.25,144.74,-4675.99,Time Exit (15:15),3,17.49,17476.0999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-21,2021-09-21T09:17:00+05:30,2021-09-21T15:15:00+05:30,358.0,113.2,90.8,81.65,76.95,204.0,5675.0,139.34,5535.66,Time Exit (15:15),2,17.14,17470.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-24,2021-09-24T09:17:00+05:30,2021-09-24T15:15:00+05:30,358.0,114.4,155.6,127.0,114.7,270.0,3537.5,156.47,3381.03,Time Exit (15:15),4,16.79,17925.9,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-27,2021-09-27T09:17:00+05:30,2021-09-27T15:15:00+05:30,358.0,119.2,101.7,102.75,97.55,220.9,2575.0,145.4,2429.6,Time Exit (15:15),3,17.5,17909.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-09-28,2021-09-28T09:17:00+05:30,2021-09-28T12:23:00+05:30,186.0,116.45,77.05,98.15,115.15,193.5,-2475.0,142.18,-2617.18,Spot Move Exit (196pts > 194pts),2,18.1,17882.2,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-10-01,2021-10-01T09:17:00+05:30,2021-10-01T15:15:00+05:30,358.0,157.6,170.0,120.45,140.45,327.6,8337.5,167.08,8170.42,Time Exit (15:15),4,18.88,17511.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-10-04,2021-10-04T09:17:00+05:30,2021-10-04T15:15:00+05:30,358.0,93.45,132.25,103.1,91.65,225.7,3868.75,145.69,3723.06,Time Exit (15:15),3,17.47,17627.4004,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-10-05,2021-10-05T09:17:00+05:30,2021-10-05T15:15:00+05:30,358.0,91.55,97.1,64.0,81.7,188.64999999999998,5368.75,135.87,5232.88,Time Exit (15:15),2,17.05,17651.25,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
2021-10-08,2021-10-08T09:17:00+05:30,2021-10-08T15:15:00+05:30,358.0,131.7,121.8,111.2,111.6,253.5,3837.5,152.35,3685.15,Time Exit (15:15),4,16.26,17873.9492,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,0.0
